away_era,away_whip,home_era,home_whip,away_ops,home_ops,home_adv,y
5.6,1.36,4.09,1.0,0.732,0.722,1.0,1
2.83,1.13,4.56,1.43,0.735,0.712,1.0,0
4.11,1.42,3.09,1.2,0.703,0.735,1.0,1
3.88,1.22,3.11,1.07,0.759,0.701,1.0,0
3.01,1.1,3.5,1.26,0.708,0.722,1.0,1
4.63,1.29,3.56,1.4,0.719,0.679,1.0,1
2.58,1.11,7.36,1.57,0.741,0.745,1.0,1
1.82,0.81,4.03,1.36,0.712,0.741,1.0,0
5.36,1.44,4.75,1.45,0.672,0.747,1.0,1
3.57,1.02,2.13,0.89,0.768,0.701,1.0,1
4.66,1.44,3.45,1.15,0.684,0.69,1.0,1
3.59,1.22,6.06,1.5,0.738,0.728,1.0,0
5.02,1.3,6.34,1.56,0.73,0.691,1.0,0
